playback_frame_index,frame_num,video_time_s,repeated,skipped,event
0,,0.0,,,
1,,0.02,,,
2,,0.04,,,
3,,0.06,,,
4,,0.08,,,
5,,0.1,,,
6,,0.12,,,
7,,0.14,,,
8,,0.16,,,
9,,0.18,,,
10,,0.2,,,
11,,0.22,,,
12,,0.24,,,
13,,0.26,,,
14,,0.28,,,
15,,0.3,,,
16,,0.32,,,
17,,0.34,,,
18,,0.36,,,
19,,0.38,,,
20,,0.4,,,
21,,0.42,,,
22,,0.44,,,
23,,0.46,,,
24,,0.48,,,
25,,0.5,,,
26,,0.52,,,
27,,0.54,,,
28,,0.56,,,
29,,0.58,,,
30,,0.6,,,
31,,0.62,,,
32,,0.64,,,
33,,0.66,,,
34,,0.68,,,
35,,0.7,,,
36,,0.72,,,
37,,0.74,,,
38,,0.76,,,
39,,0.78,,,
40,,0.8,,,
41,,0.82,,,
42,,0.84,,,
43,,0.86,,,
44,,0.88,,,
45,,0.9,,,
46,,0.92,,,
47,,0.94,,,
48,,0.96,,,
49,,0.98,,,
50,,1.0,,,
51,,1.02,,,
52,,1.04,,,
53,,1.06,,,
54,,1.08,,,
55,,1.1,,,
56,,1.12,,,
57,,1.14,,,
58,,1.16,,,
59,,1.18,,,
60,,1.2,,,
61,,1.22,,,
62,,1.24,,,
63,,1.26,,,
64,,1.28,,,
65,,1.3,,,
66,,1.32,,,
67,,1.34,,,
68,,1.36,,,
69,,1.38,,,
70,,1.4,,,
71,,1.42,,,
72,,1.44,,,
73,,1.46,,,
74,,1.48,,,
75,,1.5,,,
76,,1.52,,,
77,,1.54,,,
78,,1.56,,,
79,,1.58,,,
80,,1.6,,,
81,,1.62,,,
82,,1.64,,,
83,,1.66,,,
84,,1.68,,,
85,,1.7,,,
86,,1.72,,,
87,,1.74,,,
88,,1.76,,,
89,,1.78,,,
90,,1.8,,,
91,,1.82,,,
92,,1.84,,,
93,,1.86,,,
94,,1.88,,,
95,,1.9,,,
96,,1.92,,,
97,,1.94,,,
98,,1.96,,,
99,,1.98,,,
100,,2.0,,,
101,,2.02,,,
102,,2.04,,,
103,,2.06,,,
104,,2.08,,,
105,,2.1,,,
106,,2.12,,,
107,,2.14,,,
108,,2.16,,,
109,,2.18,,,
110,,2.2,,,
111,,2.22,,,
112,,2.24,,,
113,,2.26,,,
114,,2.28,,,
115,,2.3,,,
116,,2.32,,,
117,,2.34,,,
118,,2.36,,,
119,,2.38,,,
120,,2.4,,,
121,,2.42,,,
122,,2.44,,,
123,,2.46,,,
124,,2.48,,,
125,,2.5,,,
126,,2.52,,,
127,,2.54,,,
128,,2.56,,,
129,,2.58,,,
130,,2.6,,,
131,,2.62,,,
132,,2.64,,,
133,,2.66,,,
134,,2.68,,,
135,,2.7,,,
136,,2.72,,,
137,,2.74,,,
138,,2.76,,,
139,,2.78,,,
140,,2.8,,,
141,,2.82,,,
142,,2.84,,,
143,,2.86,,,
144,,2.88,,,
145,,2.9,,,
146,,2.92,,,
147,,2.94,,,
148,,2.96,,,
149,,2.98,,,
150,,3.0,,,
151,,3.02,,,
152,,3.04,,,
153,,3.06,,,
154,,3.08,,,
155,,3.1,,,
156,,3.12,,,
157,,3.14,,,
158,,3.16,,,
159,,3.18,,,
160,,3.2,,,
161,,3.22,,,
162,,3.24,,,
163,,3.26,,,
164,,3.28,,,
165,,3.3,,,
166,,3.32,,,
167,,3.34,,,
168,,3.36,,,
169,,3.38,,,
170,,3.4,,,
171,,3.42,,,
172,,3.44,,,
173,,3.46,,,
174,,3.48,,,
175,,3.5,,,
176,,3.52,,,
177,,3.54,,,
178,,3.56,,,
179,,3.58,,,
180,,3.6,,,
181,,3.62,,,
182,,3.64,,,
183,,3.66,,,
184,,3.68,,,
185,,3.7,,,
186,,3.72,,,
187,,3.74,,,
188,,3.76,,,
189,,3.78,,,
190,,3.8,,,
191,,3.82,,,
192,,3.84,,,
193,,3.86,,,
194,,3.88,,,
195,,3.9,,,
196,,3.92,,,
197,,3.94,,,
198,,3.96,,,
199,,3.98,,,
200,,4.0,,,
201,,4.02,,,
202,,4.04,,,
203,,4.06,,,
204,,4.08,,,
205,,4.1,,,
206,,4.12,,,
207,,4.14,,,
208,,4.16,,,
209,,4.18,,,
210,,4.2,,,
211,,4.22,,,
212,,4.24,,,
213,,4.26,,,
214,,4.28,,,
215,,4.3,,,
216,,4.32,,,
217,,4.34,,,
218,,4.36,,,
219,,4.38,,,
220,,4.4,,,
221,,4.42,,,
222,,4.44,,,
223,,4.46,,,
224,,4.48,,,
225,,4.5,,,
226,,4.52,,,
227,,4.54,,,
228,,4.56,,,
229,,4.58,,,
230,,4.6,,,
231,,4.62,,,
232,,4.64,,,
233,,4.66,,,
234,,4.68,,,
235,,4.7,,,
236,,4.72,,,
237,,4.74,,,
238,,4.76,,,
239,,4.78,,,
240,,4.8,,,
241,,4.82,,,
242,,4.84,,,
243,,4.86,,,
244,,4.88,,,
245,,4.9,,,
246,,4.92,,,
247,,4.94,,,
248,,4.96,,,
249,,4.98,,,
250,,5.0,,,
251,,5.02,,,
252,,5.04,,,
253,,5.06,,,
254,,5.08,,,
255,,5.1,,,
256,,5.12,,,
257,,5.14,,,
258,,5.16,,,
259,,5.18,,,
260,,5.2,,,
261,,5.22,,,
262,,5.24,,,
263,,5.26,,,
264,,5.28,,,
265,,5.3,,,
266,,5.32,,,
267,,5.34,,,
268,,5.36,,,
269,,5.38,,,
270,,5.4,,,
271,,5.42,,,
272,,5.44,,,
273,,5.46,,,
274,,5.48,,,
275,,5.5,,,
276,,5.52,,,
277,,5.54,,,
278,,5.56,,,
279,,5.58,,,
280,,5.6,,,
281,,5.62,,,
282,,5.64,,,
283,,5.66,,,
284,,5.68,,,
285,,5.7,,,
286,,5.72,,,
287,,5.74,,,
288,,5.76,,,
289,,5.78,,,
290,,5.8,,,
291,,5.82,,,
292,,5.84,,,
293,,5.86,,,
294,,5.88,,,
295,,5.9,,,
296,,5.92,,,
297,,5.94,,,
298,,5.96,,,
299,,5.98,,,
300,,6.0,,,
301,,6.02,,,
302,,6.04,,,
303,,6.06,,,
304,,6.08,,,
305,,6.1,,,
306,,6.12,,,
307,,6.14,,,
308,,6.16,,,
309,,6.18,,,
310,,6.2,,,
311,,6.22,,,
312,,6.24,,,
313,,6.26,,,
314,,6.28,,,
315,,6.3,,,
316,,6.32,,,
317,,6.34,,,
318,,6.36,,,
319,,6.38,,,
320,,6.4,,,
321,,6.42,,,
322,,6.44,,,
323,,6.46,,,
324,,6.48,,,
325,,6.5,,,
326,,6.52,,,
327,,6.54,,,
328,,6.56,,,
329,,6.58,,,
330,,6.6,,,
331,,6.62,,,
332,,6.64,,,
333,,6.66,,,
334,,6.68,,,
335,,6.7,,,
336,,6.72,,,
337,,6.74,,,
338,,6.76,,,
339,,6.78,,,
